position_noise,position_filtred
 -1041.08, -1029.28
 -1017.88, -1013.28
 -1033.66, -1013.28
  -983.93,  -997.28
  -958.56,  -997.28
  -975.07,  -981.28
  -995.02,  -981.28
  -991.37,  -965.28
  -934.09,  -965.28
  -948.61,  -949.28
  -947.36,  -949.28
  -912.74,  -933.28
  -920.84,  -933.28
  -906.52,  -917.28
  -906.25,  -917.28
  -914.50,  -901.28
  -888.05,  -901.28
  -899.23,  -885.28
  -916.18,  -885.28
  -852.06,  -869.28
  -890.69,  -869.28
  -827.10,  -853.28
  -844.77,  -853.28
  -834.38,  -837.28
  -806.28,  -837.28
  -810.36,  -821.28
  -850.64,  -821.28
  -807.79,  -805.28
  -824.35,  -805.28
  -819.31,  -789.28
  -788.79,  -789.28
  -786.92,  -773.28
  -768.24,  -773.28
  -747.81,  -757.28
  -796.93,  -757.28
  -729.51,  -741.28
  -748.76,  -741.28
  -798.17,  -725.28
  -708.50,  -725.28
  -689.48,  -709.28
  -689.39,  -709.28
  -650.89,  -693.28
  -669.18,  -693.28
  -699.55,  -677.28
  -708.86,  -677.28
  -650.03,  -661.28
  -651.66,  -661.28
  -678.91,  -645.28
  -661.67,  -645.28
  -620.18,  -629.28
  -627.13,  -629.28
  -631.98,  -613.28
  -622.14,  -613.28
  -601.32,  -597.28
  -594.57,  -597.28
  -561.57,  -581.28
  -535.88,  -581.28
  -554.40,  -565.28
  -550.23,  -565.28
  -554.93,  -549.28
  -535.05,  -549.28
  -538.65,  -533.28
  -536.70,  -533.28
  -517.36,  -517.28
  -523.39,  -517.28
  -471.50,  -501.28
  -522.98,  -501.28
  -481.32,  -485.28
  -523.42,  -485.28
  -468.36,  -469.28
  -506.54,  -469.28
  -441.15,  -453.28
  -451.18,  -453.28
  -460.58,  -437.28
  -461.57,  -437.28
  -443.59,  -421.28
  -421.49,  -421.28
  -393.45,  -405.28
  -383.30,  -405.28
  -341.11,  -389.28
  -380.98,  -389.28
  -378.47,  -373.28
  -388.73,  -373.28
  -317.29,  -357.28
  -336.50,  -357.28
  -352.32,  -341.28
  -326.68,  -341.28
  -314.91,  -325.28
  -356.87,  -325.28
  -309.18,  -309.28
  -323.38,  -309.28
  -306.28,  -293.28
  -295.65,  -293.28
  -256.27,  -277.28
  -263.63,  -277.28
  -278.08,  -261.28
  -326.35,  -261.28
  -243.40,  -245.28
  -252.23,  -245.28
  -230.11,  -229.28
  -236.53,  -229.28
  -207.82,  -213.28
  -207.47,  -213.28
  -195.70,  -197.28
  -162.64,  -197.28
  -197.39,  -197.28
  -170.10,  -197.28
  -196.55,  -181.28
  -183.37,  -181.28
  -211.82,  -181.28
  -190.36,  -181.28
  -161.22,  -165.28
  -162.04,  -165.28
  -176.47,  -165.28
  -158.25,  -165.28
  -166.54,  -149.28
  -134.14,  -149.28
  -125.00,  -149.28
  -178.58,  -149.28
  -142.46,  -133.28
  -127.07,  -133.28
  -139.11,  -133.28
  -111.81,  -133.28
  -146.15,  -117.28
  -121.67,  -117.28
  -116.38,  -117.28
  -110.11,  -117.28
  -102.82,  -101.28
  -122.07,  -101.28
   -86.57,  -101.28
  -126.64,  -101.28
   -84.33,   -85.28
   -55.29,   -85.28
   -51.62,   -85.28
   -66.32,   -85.28
   -99.42,   -69.28
   -74.27,   -69.28
   -34.03,   -69.28
   -46.55,   -69.28
   -61.44,   -53.28
   -48.96,   -53.28
   -44.16,   -53.28
   -15.19,   -53.28
   -71.80,   -37.28
   -43.25,   -37.28
   -47.45,   -37.28
    -6.22,   -37.28
   -16.68,   -21.28
   -24.26,   -21.28
   -39.02,   -21.28
   -59.38,   -21.28
    -6.72,    -5.28
    -5.75,    -5.28
   -23.14,    -5.28
    28.25,    -5.28
    36.56,    10.72
     0.46,    10.72
     7.45,    10.72
     5.28,    10.72
    38.32,    26.72
     3.09,    26.72
    32.75,    26.72
     9.33,    26.72
    53.23,    42.72
    48.88,    42.72
    67.67,    42.72
    31.53,    42.72
