position_noise,position_filtred,real_position,pos1,pos2,pos3
 -4621.28, -4613.28, -4631.53, -4621.28, -4637.80, -4649.73
 -4601.71, -4613.28, -4614.25, -4601.71, -4621.28, -4637.80
 -4574.06, -4597.28, -4591.14, -4574.06, -4601.71, -4621.28
 -4593.47, -4597.28, -4588.37, -4593.47, -4574.06, -4601.71
 -4575.11, -4581.28, -4581.05, -4575.11, -4593.47, -4574.06
 -4568.51, -4581.28, -4574.87, -4568.51, -4575.11, -4593.47
 -4572.37, -4565.28, -4571.54, -4572.37, -4568.51, -4575.11
 -4547.49, -4565.28, -4559.29, -4547.49, -4572.37, -4568.51
 -4506.19, -4549.28, -4530.98, -4506.19, -4547.49, -4572.37
 -4542.63, -4549.28, -4531.29, -4542.63, -4506.19, -4547.49
 -4533.91, -4533.28, -4532.19, -4533.91, -4542.63, -4506.19
 -4513.54, -4533.28, -4525.18, -4513.54, -4533.91, -4542.63
 -4511.92, -4517.28, -4516.13, -4511.92, -4513.54, -4533.91
 -4530.97, -4517.28, -4521.72, -4530.97, -4511.92, -4513.54
 -4536.55, -4501.28, -4530.59, -4536.55, -4530.97, -4511.92
 -4533.28, -4501.28, -4533.99, -4533.28, -4536.55, -4530.97
 -4468.94, -4485.28, -4501.65, -4468.94, -4533.28, -4536.55
 -4479.97, -4485.28, -4485.18, -4479.97, -4468.94, -4533.28
 -4457.36, -4469.28, -4466.82, -4457.36, -4479.97, -4468.94
 -4459.35, -4469.28, -4462.12, -4459.35, -4457.36, -4479.97
 -4467.23, -4453.28, -4462.96, -4467.23, -4459.35, -4457.36
 -4435.01, -4453.28, -4449.81, -4435.01, -4467.23, -4459.35
 -4452.92, -4437.28, -4449.34, -4452.92, -4435.01, -4467.23
 -4428.68, -4437.28, -4437.81, -4428.68, -4452.92, -4435.01
 -4404.23, -4421.28, -4420.49, -4404.23, -4428.68, -4452.92
 -4384.29, -4421.28, -4398.33, -4384.29, -4404.23, -4428.68
 -4397.89, -4405.28, -4394.41, -4397.89, -4384.29, -4404.23
 -4382.55, -4405.28, -4387.95, -4382.55, -4397.89, -4384.29
 -4392.38, -4389.28, -4390.02, -4392.38, -4382.55, -4397.89
 -4360.55, -4389.28, -4374.83, -4360.55, -4392.38, -4382.55
 -4358.92, -4373.28, -4365.04, -4358.92, -4360.55, -4392.38
 -4366.73, -4373.28, -4363.10, -4366.73, -4358.92, -4360.55
 -4367.19, -4357.28, -4365.66, -4367.19, -4366.73, -4358.92
 -4370.83, -4357.28, -4368.93, -4370.83, -4367.19, -4366.73
 -4345.42, -4341.28, -4357.52, -4345.42, -4370.83, -4367.19
 -4339.83, -4341.28, -4346.86, -4339.83, -4345.42, -4370.83
 -4345.50, -4325.28, -4343.60, -4345.50, -4339.83, -4345.42
 -4346.39, -4325.28, -4345.00, -4346.39, -4345.50, -4339.83
 -4298.85, -4309.28, -4322.47, -4298.85, -4346.39, -4345.50
 -4326.15, -4309.28, -4320.42, -4326.15, -4298.85, -4346.39
 -4299.59, -4293.28, -4308.32, -4299.59, -4326.15, -4298.85
 -4289.16, -4293.28, -4298.80, -4289.16, -4299.59, -4326.15
 -4304.23, -4277.28, -4298.43, -4304.23, -4289.16, -4299.59
 -4251.68, -4277.28, -4275.44, -4251.68, -4304.23, -4289.16
 -4253.63, -4261.28, -4261.42, -4253.63, -4251.68, -4304.23
 -4254.38, -4261.28, -4253.68, -4254.38, -4253.63, -4251.68
 -4254.99, -4245.28, -4254.56, -4254.99, -4254.38, -4253.63
 -4247.56, -4245.28, -4251.17, -4247.56, -4254.99, -4254.38
 -4240.93, -4229.28, -4245.49, -4240.93, -4247.56, -4254.99
 -4235.16, -4229.28, -4239.15, -4235.16, -4240.93, -4247.56
 -4187.59, -4213.28, -4212.34, -4187.59, -4235.16, -4240.93
 -4211.56, -4213.28, -4207.50, -4211.56, -4187.59, -4235.16
 -4195.74, -4197.28, -4199.65, -4195.74, -4211.56, -4187.59
 -4187.35, -4197.28, -4194.18, -4187.35, -4195.74, -4211.56
 -4170.38, -4181.28, -4180.27, -4170.38, -4187.35, -4195.74
 -4183.10, -4181.28, -4179.57, -4183.10, -4170.38, -4187.35
 -4192.15, -4165.28, -4185.50, -4192.15, -4183.10, -4170.38
 -4158.65, -4165.28, -4173.89, -4158.65, -4192.15, -4183.10
 -4122.24, -4149.28, -4146.03, -4122.24, -4158.65, -4192.15
 -4146.29, -4149.28, -4140.33, -4146.29, -4122.24, -4158.65
 -4078.80, -4133.28, -4108.53, -4078.80, -4146.29, -4122.24
 -4111.53, -4133.28, -4106.41, -4111.53, -4078.80, -4146.29
 -4087.03, -4117.28, -4093.83, -4087.03, -4111.53, -4078.80
 -4106.87, -4117.28, -4101.03, -4106.87, -4087.03, -4111.53
 -4114.24, -4101.28, -4107.25, -4114.24, -4106.87, -4087.03
 -4089.35, -4101.28, -4100.57, -4089.35, -4114.24, -4106.87
 -4052.57, -4085.28, -4075.11, -4052.57, -4089.35, -4114.24
 -4061.01, -4085.28, -4062.92, -4061.01, -4052.57, -4089.35
 -4061.43, -4069.28, -4059.82, -4061.43, -4061.01, -4052.57
 -4077.40, -4069.28, -4069.35, -4077.40, -4061.43, -4061.01
 -4061.33, -4053.28, -4066.70, -4061.33, -4077.40, -4061.43
 -4064.79, -4053.28, -4065.74, -4064.79, -4061.33, -4077.40
 -4008.01, -4037.28, -4035.82, -4008.01, -4064.79, -4061.33
 -4015.38, -4037.28, -4021.16, -4015.38, -4008.01, -4064.79
 -4019.03, -4021.28, -4015.98, -4019.03, -4015.38, -4008.01
 -4051.62, -4021.28, -4034.72, -4051.62, -4019.03, -4015.38
 -3998.73, -4005.28, -4019.75, -3998.73, -4051.62, -4019.03
 -3982.06, -4005.28, -3999.21, -3982.06, -3998.73, -4051.62
 -4004.38, -3989.28, -3996.00, -4004.38, -3982.06, -3998.73
 -3959.33, -3989.28, -3978.13, -3959.33, -4004.38, -3982.06
 -3948.23, -3973.28, -3961.29, -3948.23, -3959.33, -4004.38
 -3934.88, -3973.28, -3943.41, -3934.88, -3948.23, -3959.33
 -3964.14, -3957.28, -3951.74, -3964.14, -3934.88, -3948.23
 -3944.91, -3957.28, -3949.65, -3944.91, -3964.14, -3934.88
 -3923.03, -3941.28, -3937.17, -3923.03, -3944.91, -3964.14
 -3910.28, -3941.28, -3920.30, -3910.28, -3923.03, -3944.91
 -3940.10, -3925.28, -3927.31, -3940.10, -3910.28, -3923.03
 -3915.53, -3925.28, -3922.84, -3915.53, -3940.10, -3910.28
 -3917.35, -3909.28, -3920.54, -3917.35, -3915.53, -3940.10
 -3892.10, -3909.28, -3904.42, -3892.10, -3917.35, -3915.53
 -3885.08, -3893.28, -3892.80, -3885.08, -3892.10, -3917.35
 -3873.54, -3893.28, -3880.48, -3873.54, -3885.08, -3892.10
 -3886.48, -3877.28, -3881.93, -3886.48, -3873.54, -3885.08
 -3881.24, -3877.28, -3881.70, -3881.24, -3886.48, -3873.54
 -3833.60, -3861.28, -3858.29, -3833.60, -3881.24, -3886.48
 -3824.56, -3861.28, -3837.02, -3824.56, -3833.60, -3881.24
 -3867.47, -3845.28, -3847.52, -3867.47, -3824.56, -3833.60
 -3840.96, -3845.28, -3847.06, -3840.96, -3867.47, -3824.56
 -3845.92, -3829.28, -3847.86, -3845.92, -3840.96, -3867.47
 -3818.86, -3829.28, -3831.56, -3818.86, -3845.92, -3840.96
 -3796.61, -3813.28, -3812.25, -3796.61, -3818.86, -3845.92
 -3794.44, -3813.28, -3799.24, -3794.44, -3796.61, -3818.86
 -3795.55, -3797.28, -3795.36, -3795.55, -3794.44, -3796.61
 -3788.50, -3797.28, -3791.84, -3788.50, -3795.55, -3794.44
 -3743.11, -3781.28, -3766.98, -3743.11, -3788.50, -3795.55
 -3767.15, -3781.28, -3762.70, -3767.15, -3743.11, -3788.50
 -3789.18, -3765.28, -3774.16, -3789.18, -3767.15, -3743.11
 -3755.33, -3765.28, -3768.58, -3755.33, -3789.18, -3767.15
 -3759.81, -3749.28, -3763.22, -3759.81, -3755.33, -3789.18
 -3776.01, -3749.28, -3767.16, -3776.01, -3759.81, -3755.33
 -3719.89, -3733.28, -3745.25, -3719.89, -3776.01, -3759.81
 -3717.93, -3733.28, -3728.26, -3717.93, -3719.89, -3776.01
 -3719.71, -3717.28, -3719.15, -3719.71, -3717.93, -3719.89
 -3739.91, -3717.28, -3729.51, -3739.91, -3719.71, -3717.93
 -3692.98, -3701.28, -3713.08, -3692.98, -3739.91, -3719.71
 -3690.75, -3701.28, -3699.69, -3690.75, -3692.98, -3739.91
 -3683.73, -3685.28, -3687.61, -3683.73, -3690.75, -3692.98
 -3691.86, -3685.28, -3688.96, -3691.86, -3683.73, -3690.75
 -3659.82, -3669.28, -3674.49, -3659.82, -3691.86, -3683.73
 -3712.72, -3669.28, -3691.61, -3712.72, -3659.82, -3691.86
 -3644.23, -3653.28, -3669.66, -3644.23, -3712.72, -3659.82
 -3645.28, -3653.28, -3656.17, -3645.28, -3644.23, -3712.72
 -3630.82, -3637.28, -3637.87, -3630.82, -3645.28, -3644.23
